,region,level of education,sex,2016,2017,2018,2019,2020
194,24 Västerbotten county,primary and lower secondary education,men,224.9,227.32500000000002,235.0875,240.6625,243.575
195,24 Västerbotten county,primary and lower secondary education,women,158.5625,160.725,163.425,168.4375,171.7875
198,24 Västerbotten county,upper secondary education,men,291.4875,299.275,306.45,313.7375,317.6
199,24 Västerbotten county,upper secondary education,women,221.725,227.025,232.825,238.375,240.23749999999998
200,25 Norrbotten county,no information about level of educational attainment,men,164.95,147.85,164.675,172.225,167.1
201,25 Norrbotten county,no information about level of educational attainment,women,105.3625,88.0,95.7375,101.0375,100.2125
202,25 Norrbotten county,post secondary education,men,392.8,400.24285714285713,408.90000000000003,419.0285714285714,427.57142857142856
203,25 Norrbotten county,post secondary education,women,316.42857142857144,324.74285714285713,333.38571428571424,341.9142857142857,347.42857142857144
204,25 Norrbotten county,primary and lower secondary education,men,232.2875,236.7375,243.4875,251.875,256.2
205,25 Norrbotten county,primary and lower secondary education,women,168.1625,170.825,174.475,178.75,182.5625
208,25 Norrbotten county,upper secondary education,men,299.7,307.6375,316.75,324.7625,329.2625
209,25 Norrbotten county,upper secondary education,women,230.2375,236.375,243.025,249.1875,252.775
